Name,Price,Producer,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics
Asus PRIME A320M-A,$73.28,Asus,AM4,A320,FALSE,ATX,DDR4,64 GB,4,6,1,1,,1,FALSE,FALSE
MSI B450-A Pro,$87.04,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"ASRock B450 Pro 4, AMD B450",$87.04,ASRock,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"ASRock B450 Gaming K4, AMD B450",$90.66,ASRock,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,1,FALSE,FALSE
"MSI B450-A Pro Max, AMD B450-, socket AM4",$94.29,MSI,AM4,B450,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
"ASRock AB350 Pro4 BTC, AMD B350",$98.78,ASRock,AM4,B350,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE
MSI Pro X670-P Wifi,$203.1,MSI,AM5,X670E,FALSE,ATX,DDR5,128 GB,4,6,0,0,2,1,TRUE,FALSE
ASUS ROG Crosshair X670E Hero,$645.58,ASUS,AM5,X670E,FALSE,ATX,DDR5,128 GB,4,6,0,0,1,0,TRUE,FALSE
MSI MEG Z490 Godlike,$652.83,MSI,1200,Z490,TRUE,E-ATX,DDR4,128 GB,4,6,0,0,0,0,TRUE,FALSE
ASUS ROG MAXIMUS Z690 EXTREME,$1077.18,ASUS,1700,Z690,TRUE,E-ATX,DDR5,128 GB,4,6,0,0,0,1,TRUE,FALSE
"MSI MEG X570 Godlike, AMD X570",$762.33,MSI,AM4,X570,TRUE,E-ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
"MSI Prestige X570 Creation, AMD X570",$826.16,MSI,AM4,X570,TRUE,E-ATX,DDR4,128 GB,4,6,0,0,0,0,FALSE,FALSE
Asus ROG CROSSHAIR VI EXTREME,$250.25,Asus,AM4,X370,TRUE,E-ATX,DDR4,64 GB,4,8,,,,,FALSE,FALSE
GIGABYTE X670E AORUS Master,$463.5,Gigabyte,AM5,X670E,FALSE,E-ATX,DDR5,128 GB,4,6,0,0,1,1,TRUE,FALSE
